,phone,longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,Attributes,Annual Report Expense Ratio (net),Holdings Turnover,Total Net Assets,forwardPE
0,888-658-8287,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the semiconductor industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. The fund is non-diversified.,86400,2,180.31,182.39,181.44,187.305,180.31,182.39,181.44,187.305,16.181963,12560479,12560479,7836345,8239030,8239030,187.27,187.5,800,800,0.006,11721420800,114.345,187.31,166.685,149.48332,0.0,0.0,187.25,USD,Technology,0.0703952,1.58,VanEck,1324339200,Exchange Traded Fund,0.1640505,0.3333658,NGM,ETF,SMH,SMH,VanEck Semiconductor ETF,VanEck Semiconductor ETF,960211800,America/New_York,EST,b67414ef-d686-3410-98c7-8268c7310e22,finmb_3588704,-18000000,,SMH,0.35%,18.00%,"202,831.41",
1,1-800-474-2737,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.",86400,2,578.6,585.89,582.91,602.0,578.6,585.89,582.91,602.0,29.482801,1763083,1763083,930055,1227430,1227430,601.52,602.31,1100,800,0.0078,10278602752,388.51,602.01,537.257,489.5856,3.135,0.0054182513,601.43353,USD,Technology,0.0436209,1.61,iShares,994723200,Exchange Traded Fund,0.1377746,0.3064671,NGM,ETF,SOXX,SOXX,iShares Semiconductor ETF,iShares Semiconductor ETF,995031000,America/New_York,EST,16347a65-be7a-3fef-adb1-9623223b38a9,finmb_8796823,-18000000,,SOXX,0.35%,18.00%,"109,359.38",
2,,The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of common stocks of U.S. semiconductor companies. These companies are engaged principally in the manufacture of semiconductors. The fund is non-diversified.,86400,2,48.691,49.31,49.115,50.5899,48.691,49.31,49.115,50.5899,6.92297,88480,88480,56957,55560,55560,50.6,50.65,1100,1300,0.004,682353920,35.666668,50.59,45.737,43.203716,0.19,0.0039021582,50.57,USD,Technology,0.0215152,1.6,Invesco,1119484800,Exchange Traded Fund,0.08326569,0.2672843,PCX,ETF,PSI,PSI,Invesco Semiconductors ETF,Invesco Semiconductors ETF,1119533400,America/New_York,EST,e589fb6e-29e4-3f1b-9f26-b693cc39a295,finmb_22938325,-18000000,,PSI,0.57%,108.00%,"30,799.73",
3,866-909-9473,"Under normal circumstances, at least 95% of the fund's total assets will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a dividend weighted index designed to provide exposure to Japanese equity markets while at the same time neutralizing exposure to fluctuations of the Japanese yen relative to the U.S. dollar. The fund is non-diversified.",86400,2,94.82,94.62,94.315,94.88,94.82,94.62,94.315,94.88,10.528359,630698,630698,998898,1323460,1323460,94.22,94.85,1100,1000,0.0343,2890290432,66.52,94.88,90.1506,83.90125,0.0,0.0,94.31721,USD,Japan Stock,0.0784269,0.44,WisdomTree,1150416000,Exchange Traded Fund,0.22796129,0.1699319,PCX,ETF,DXJ,DXJ,WisdomTree Japan Hedged Equity ,WisdomTree Japan Hedged Equity Fund,1150464600,America/New_York,EST,90ae9f98-7e72-3722-a7d0-624de928b687,finmb_27778035,-18000000,,DXJ,0.48%,37.00%,"21,000.13",
4,2122505883,"The fund, using a ""passive"" or indexing investment approach, seeks investment results that correspond generally to the performance, of the underlying index, which is designed to track the performance of the Japanese equity market while mitigating exposure to fluctuations between the value of the U.S. dollar and the Japanese yen. It will invest at least 80% of its total assets in component securities (including depositary receipts in respect of such securities) of the underlying index.",86400,2,66.85,66.81,66.6201,67.13,66.85,66.81,66.6201,67.13,16.984343,18575,18575,23954,21330,21330,63.21,70.85,900,1400,0.0519,299172320,49.29,67.13,62.6644,59.3506,,,66.565,USD,Japan Stock,0.082014196,0.45,Xtrackers,1307577600,Exchange Traded Fund,0.1571334,0.1482414,PCX,ETF,DBJP,DBJP,Xtrackers MSCI Japan Hedged Equ,Xtrackers MSCI Japan Hedged Equity ETF,1307626200,America/New_York,EST,1f9a6751-5fb2-3aa7-bd2e-14775763b1af,finmb_134106033,-18000000,,DBJP,0.47%,18.00%,"31,249.49",
5,2122505883,The fund will normally invest at least 80% of its total assets in securities (including depositary receipts in respect of such securities) of issuers that comprise the underlying index. The underlying index is designed to track the equity market performance of China A-Shares that are accessible through the Shanghai-Hong Kong Stock Connect program or the Shenzhen-Hong Kong Stock Connect program.,86400,2,17.2002,17.01,17.365,17.365,17.2002,17.01,17.365,17.365,10.958797,1,1,552,160,160,6.89,25.8,800,800,0.0239,4593099,16.936,24.662,18.46132,20.143024,,,17.219,USD,China Region,-0.0565064,0.61,Xtrackers,1445299200,Exchange Traded Fund,-0.1615999,0.0198582,PCX,ETF,ASHX,ASHX,Xtrackers MSCI China A Inclusio,Xtrackers MSCI China A Inclusion Equity ETF,1445434200,America/New_York,EST,e861d504-aafb-30c9-8606-3c1f9a19bd68,finmb_308954235,-18000000,,ASHX,0.60%,12.00%,"18,294.21",
6,,"Under normal market conditions, the fund invests at least 80% of its assets in the component securities of the FTSE Japan Capped Hedged Index and in depositary receipts representing such securities, including indirectly through the Franklin FTSE Japan ETF (underlying fund). The FTSE Japan Capped Hedged Index is based on the FTSE Japan Hedged to USD Index and is designed to measure the performance of Japanese large- and mid-capitalization stocks.",86400,2,28.13,28.1,27.9901,28.18,28.13,28.1,27.9901,28.18,12.529444,18474,18474,100519,28640,28640,28.15,28.16,800,1000,0.0756,28935776,24.809,33.13,29.87704,30.012424,,,27.97,USD,Japan Stock,0.07547,0.42,Franklin Templeton Investments,1509580800,Exchange Traded Fund,0.16062531,0.1489867,PCX,ETF,FLJH,FLJH,Franklin FTSE Japan Hedged ETF,Franklin FTSE Japan Hedged ETF,1509978600,America/New_York,EST,73697e59-5d2c-3118-9a80-df2452c57958,finmb_536176219,-18000000,,FLJH,0.09%,31.96%,"22,773.07",
7,+1 8884938631,"The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index tracks the performance of companies in the MSCI China Investable Market Index (the ""parent index"") that are classified in the energy sector, as defined by the index provider. The fund is non-diversified.",86400,2,15.6,15.5199,15.25,15.5199,15.6,15.5199,15.25,15.5199,5.4408374,65379,65379,5083,10630,10630,7.73,16.29,3000,800,0.0949,5176471,13.86,16.58,15.7152,15.28105,,,15.58,USD,China Region,0.0108708,0.59,Global X Funds,1260835200,Exchange Traded Fund,0.2536612,0.1126526,PCX,ETF,CHIE,CHIE,Global X MSCI China Energy ETF,Global X MSCI China Energy ETF,1264170600,America/New_York,EST,e906ff84-8d69-37f4-a069-fa3b5f143717,finmb_83338887,-18000000,,CHIE,0.66%,65.82%,"12,802.94",
8,1-800-474-2737,The fund generally will invest at least 80% of its assets in the component securities and other instruments of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Japanese equity market with the currency risk inherent in the securities included in the underlying index hedged to the U.S. dollar on a monthly basis.,86400,2,37.54,37.48,37.4,37.635,37.54,37.48,37.4,37.635,15.485396,93856,93856,117593,131170,131170,33.91,37.62,2900,900,0.0202,205910880,26.79,37.64,35.4906,33.33295,,,37.63432,USD,Japan Stock,0.077628195,0.45,iShares,1391126400,Exchange Traded Fund,0.1561881,0.1461764,PCX,ETF,HEWJ,HEWJ,iShares Currency Hedged MSCI Ja,iShares Currency Hedged MSCI Japan ETF,1391610600,America/New_York,EST,19913a4f-78b8-3a2f-b5f0-915c2f955413,finmb_248604808,-18000000,,HEWJ,0.50%,29.00%,"31,260.05",
9,,The fund invests at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to provide exposure to U.S. companies comprising the semiconductor sector that have been selected based upon their liquidity and ranking. It is non-diversified.,86400,2,80.42,81.47,81.47,83.782,80.42,81.47,81.47,83.782,23.538193,54914,54914,75372,89230,89230,82.09,85.2,900,1800,0.006,1240465664,57.434,83.782,75.804,69.228004,,,83.61,USD,Technology,0.0268613,1.51,First Trust Advisors L.P.,1474329600,Exchange Traded Fund,0.082567796,0.2574532,NGM,ETF,FTXL,FTXL,First Trust Nasdaq Semiconducto,First Trust Nasdaq Semiconductor ETF,1474464600,America/New_York,EST,5d89d9d5-90d6-3299-9b07-4c23d62e1206,finmb_374033830,-18000000,,FTXL,0.60%,46.00%,"78,912.79",
