,Iteration Per Period
2020-01-03,12
2020-01-06,12
2020-01-07,8
2020-01-08,6
2020-01-09,5
2020-01-10,7
2020-01-13,6
2020-01-14,4
2020-01-15,6
2020-01-16,6
2020-01-17,6
2020-01-21,6
2020-01-22,5
2020-01-23,7
2020-01-24,5
2020-01-27,4
2020-01-28,5
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,7
2020-02-07,7
2020-02-10,6
2020-02-11,6
2020-02-12,6
2020-02-13,8
2020-02-14,6
2020-02-18,7
2020-02-19,8
2020-02-20,8
2020-02-21,8
2020-02-24,6
2020-02-25,8
2020-02-26,8
2020-02-27,10
2020-02-28,10
2020-03-02,9
2020-03-03,10
2020-03-04,9
2020-03-05,9
2020-03-06,9
2020-03-09,8
2020-03-10,11
2020-03-11,5
2020-03-12,7
2020-03-13,9
2020-03-16,7
2020-03-17,10
2020-03-18,4
2020-03-19,5
2020-03-20,7
2020-03-23,7
2020-03-24,9
2020-03-25,6
2020-03-26,10
2020-03-27,13
2020-03-30,11
2020-03-31,100
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-06,10
2020-04-07,11
2020-04-08,10
2020-04-09,10
2020-04-13,10
2020-04-14,10
2020-04-15,9
2020-04-16,10
2020-04-17,10
2020-04-20,9
2020-04-21,10
2020-04-22,11
2020-04-23,11
2020-04-24,11
2020-04-27,11
2020-04-28,12
2020-04-29,12
2020-04-30,12
2020-05-01,11
2020-05-04,12
2020-05-05,10
2020-05-06,10
2020-05-07,12
2020-05-08,15
2020-05-11,12
2020-05-12,12
2020-05-13,10
2020-05-14,11
2020-05-15,12
2020-05-18,14
2020-05-19,14
2020-05-20,12
2020-05-21,12
2020-05-22,12
2020-05-26,6
2020-05-27,12
2020-05-28,12
2020-05-29,100
2020-06-01,11
2020-06-02,10
2020-06-03,12
2020-06-04,9
2020-06-05,10
2020-06-08,9
2020-06-09,11
2020-06-10,9
2020-06-11,6
2020-06-12,9
2020-06-15,9
2020-06-16,7
2020-06-17,7
2020-06-18,9
2020-06-19,11
2020-06-22,9
2020-06-23,10
2020-06-24,12
2020-06-25,11
2020-06-26,12
2020-06-29,9
2020-06-30,7
2020-07-01,11
2020-07-02,11
2020-07-06,10
2020-07-07,10
2020-07-08,11
2020-07-09,12
2020-07-10,11
2020-07-13,12
2020-07-14,11
2020-07-15,9
2020-07-16,10
2020-07-17,13
2020-07-20,11
2020-07-21,10
2020-07-22,11
2020-07-23,10
2020-07-24,10
2020-07-27,10
2020-07-28,10
2020-07-29,11
2020-07-30,9
2020-07-31,11
2020-08-03,11
2020-08-04,7
2020-08-05,7
2020-08-06,8
2020-08-07,8
2020-08-10,9
2020-08-11,7
2020-08-12,6
2020-08-13,9
2020-08-14,9
2020-08-17,9
2020-08-18,10
2020-08-19,8
2020-08-20,9
2020-08-21,10
2020-08-24,8
2020-08-25,8
2020-08-26,8
2020-08-27,9
2020-08-28,9
2020-08-31,10
2020-09-01,10
2020-09-02,9
2020-09-03,10
2020-09-04,10
2020-09-08,10
2020-09-09,10
2020-09-10,10
2020-09-11,9
2020-09-14,9
2020-09-15,10
2020-09-16,9
2020-09-17,10
2020-09-18,7
2020-09-21,11
2020-09-22,11
2020-09-23,10
2020-09-24,10
2020-09-25,11
2020-09-28,9
2020-09-29,11
2020-09-30,10
2020-10-01,10
2020-10-02,10
2020-10-05,10
2020-10-06,11
2020-10-07,9
2020-10-08,10
2020-10-09,9
2020-10-12,10
2020-10-13,10
2020-10-14,11
2020-10-15,10
2020-10-16,10
2020-10-19,11
2020-10-20,11
2020-10-21,10
2020-10-22,10
2020-10-23,10
2020-10-26,9
2020-10-27,10
2020-10-28,11
2020-10-29,12
2020-10-30,12
2020-11-02,12
2020-11-03,12
2020-11-04,10
2020-11-05,10
2020-11-06,10
2020-11-09,11
2020-11-10,10
2020-11-11,11
2020-11-12,10
2020-11-13,10
2020-11-16,9
2020-11-17,6
2020-11-18,7
2020-11-19,8
2020-11-20,6
2020-11-23,6
2020-11-24,7
2020-11-25,8
2020-11-27,8
2020-11-30,8
2020-12-01,7
2020-12-02,7
2020-12-03,8
2020-12-04,7
2020-12-07,9
2020-12-08,9
2020-12-09,9
2020-12-10,6
2020-12-11,8
2020-12-14,8
2020-12-15,9
2020-12-16,9
2020-12-17,10
2020-12-18,9
2020-12-21,6
2020-12-22,7
2020-12-23,9
2020-12-24,11
2020-12-28,11
2020-12-29,9
2020-12-30,9
2020-12-31,7
2021-01-04,100
2021-01-05,100
2021-01-06,100
2021-01-07,100
2021-01-08,100
2021-01-11,12
2021-01-12,11
2021-01-13,8
2021-01-14,9
2021-01-15,9
2021-01-19,9
2021-01-20,7
2021-01-21,8
2021-01-22,9
2021-01-25,6
2021-01-26,6
2021-01-27,8
2021-01-28,7
2021-01-29,7
2021-02-01,9
2021-02-02,10
2021-02-03,10
2021-02-04,10
2021-02-05,11
2021-02-08,11
