,Ex-Ante Risk,,,,0,,,Ex-Ante Risk
1/3/2020,34.3%,,,1/3/2020,,,1/3/2020,10.0%
1/6/2020,34.3%,,,1/6/2020,,,1/6/2020,10.0%
1/7/2020,34.3%,,,1/7/2020,,,1/7/2020,10.0%
1/8/2020,34.3%,,,1/8/2020,,,1/8/2020,10.1%
1/9/2020,34.3%,,,1/9/2020,,,1/9/2020,10.1%
1/10/2020,34.3%,,,1/10/2020,,,1/10/2020,10.1%
1/13/2020,34.3%,,,1/13/2020,,,1/13/2020,10.1%
1/14/2020,34.3%,,,1/14/2020,,,1/14/2020,10.1%
1/15/2020,34.3%,,,1/15/2020,,,1/15/2020,10.1%
1/16/2020,34.3%,,,1/16/2020,,,1/16/2020,10.1%
1/17/2020,34.3%,,,1/17/2020,,,1/17/2020,10.0%
1/21/2020,34.3%,,,1/21/2020,,,1/21/2020,10.0%
1/22/2020,34.3%,,,1/22/2020,,,1/22/2020,10.0%
1/23/2020,34.3%,,,1/23/2020,,,1/23/2020,10.0%
1/24/2020,34.4%,,,1/24/2020,,,1/24/2020,10.0%
1/27/2020,34.4%,,,1/27/2020,,,1/27/2020,10.0%
1/28/2020,34.5%,,,1/28/2020,,,1/28/2020,10.0%
1/29/2020,34.5%,,,1/29/2020,,,1/29/2020,10.0%
1/30/2020,34.5%,,,1/30/2020,,,1/30/2020,10.0%
1/31/2020,34.5%,,,1/31/2020,,,1/31/2020,10.0%
2/3/2020,34.5%,,,2/3/2020,,,2/3/2020,10.0%
2/4/2020,34.6%,,,2/4/2020,,,2/4/2020,10.0%
2/5/2020,34.6%,,,2/5/2020,,,2/5/2020,10.0%
2/6/2020,34.6%,,,2/6/2020,,,2/6/2020,10.0%
2/7/2020,34.6%,,,2/7/2020,,,2/7/2020,10.0%
2/10/2020,34.7%,,,2/10/2020,,,2/10/2020,10.0%
2/11/2020,34.7%,,,2/11/2020,,,2/11/2020,10.1%
2/12/2020,34.7%,,,2/12/2020,,,2/12/2020,10.0%
2/13/2020,34.7%,,,2/13/2020,,,2/13/2020,10.1%
2/14/2020,34.7%,,,2/14/2020,,,2/14/2020,10.0%
2/18/2020,33.2%,,,2/18/2020,,,2/18/2020,10.0%
2/19/2020,27.8%,,,2/19/2020,,,2/19/2020,10.1%
2/20/2020,25.7%,,,2/20/2020,,,2/20/2020,10.1%
2/21/2020,17.4%,,,2/21/2020,,,2/21/2020,10.1%
2/24/2020,14.4%,,,2/24/2020,,,2/24/2020,10.1%
2/25/2020,16.2%,,,2/25/2020,,,2/25/2020,10.1%
2/26/2020,14.5%,,,2/26/2020,,,2/26/2020,10.1%
2/27/2020,15.0%,,,2/27/2020,,,2/27/2020,10.1%
2/28/2020,22.1%,,,2/28/2020,,,2/28/2020,10.0%
3/2/2020,15.1%,,,3/2/2020,,,3/2/2020,10.0%
3/3/2020,17.9%,,,3/3/2020,,,3/3/2020,10.0%
3/4/2020,15.2%,,,3/4/2020,,,3/4/2020,10.0%
3/5/2020,15.2%,,,3/5/2020,,,3/5/2020,10.0%
3/6/2020,15.3%,,,3/6/2020,,,3/6/2020,10.0%
3/9/2020,20.4%,,,3/9/2020,,,3/9/2020,10.0%
3/10/2020,15.7%,,,3/10/2020,,,3/10/2020,10.0%
3/11/2020,18.1%,,,3/11/2020,,,3/11/2020,10.0%
3/12/2020,18.9%,,,3/12/2020,,,3/12/2020,10.0%
3/13/2020,17.6%,,,3/13/2020,,,3/13/2020,10.1%
3/16/2020,30.6%,,,3/16/2020,,,3/16/2020,9.9%
3/17/2020,20.6%,,,3/17/2020,,,3/17/2020,9.9%
3/18/2020,19.5%,,,3/18/2020,,,3/18/2020,9.9%
3/19/2020,19.5%,,,3/19/2020,,,3/19/2020,9.9%
3/20/2020,19.7%,,,3/20/2020,,,3/20/2020,10.0%
3/23/2020,24.5%,,,3/23/2020,,,3/23/2020,10.0%
3/24/2020,27.5%,,,3/24/2020,,,3/24/2020,10.0%
3/25/2020,22.3%,,,3/25/2020,,,3/25/2020,10.0%
3/26/2020,25.3%,,,3/26/2020,,,3/26/2020,10.0%
3/27/2020,19.3%,,,3/27/2020,,,3/27/2020,10.0%
3/30/2020,19.6%,,,3/30/2020,,,3/30/2020,10.0%
3/31/2020,30.2%,,,3/31/2020,,,3/31/2020,10.0%
4/1/2020,33.8%,,,4/1/2020,,,4/1/2020,10.0%
4/2/2020,32.8%,,,4/2/2020,,,4/2/2020,10.0%
4/3/2020,31.6%,,,4/3/2020,,,4/3/2020,10.0%
4/6/2020,28.9%,,,4/6/2020,,,4/6/2020,10.0%
4/7/2020,23.9%,,,4/7/2020,,,4/7/2020,10.0%
4/8/2020,36.3%,,,4/8/2020,,,4/8/2020,10.0%
4/9/2020,36.8%,,,4/9/2020,,,4/9/2020,10.0%
4/13/2020,37.0%,,,4/13/2020,,,4/13/2020,10.0%
4/14/2020,37.0%,,,4/14/2020,,,4/14/2020,10.0%
4/15/2020,37.0%,,,4/15/2020,,,4/15/2020,10.0%
4/16/2020,36.0%,,,4/16/2020,,,4/16/2020,10.0%
4/17/2020,37.0%,,,4/17/2020,,,4/17/2020,10.0%
4/20/2020,37.0%,,,4/20/2020,,,4/20/2020,10.0%
4/21/2020,37.0%,,,4/21/2020,,,4/21/2020,10.0%
4/22/2020,37.2%,,,4/22/2020,,,4/22/2020,10.0%
4/23/2020,37.2%,,,4/23/2020,,,4/23/2020,10.0%
4/24/2020,37.1%,,,4/24/2020,,,4/24/2020,10.0%
4/27/2020,37.1%,,,4/27/2020,,,4/27/2020,10.0%
4/28/2020,37.1%,,,4/28/2020,,,4/28/2020,10.0%
4/29/2020,37.1%,,,4/29/2020,,,4/29/2020,10.0%
4/30/2020,37.2%,,,4/30/2020,,,4/30/2020,10.0%
5/1/2020,37.2%,,,5/1/2020,,,5/1/2020,10.0%
5/4/2020,37.3%,,,5/4/2020,,,5/4/2020,10.0%
5/5/2020,37.3%,,,5/5/2020,,,5/5/2020,10.0%
5/6/2020,37.3%,,,5/6/2020,,,5/6/2020,10.0%
5/7/2020,37.4%,,,5/7/2020,,,5/7/2020,10.0%
5/8/2020,37.4%,,,5/8/2020,,,5/8/2020,10.0%
5/11/2020,36.1%,,,5/11/2020,,,5/11/2020,10.0%
5/12/2020,37.4%,,,5/12/2020,,,5/12/2020,10.0%
5/13/2020,37.4%,,,5/13/2020,,,5/13/2020,10.0%
5/14/2020,37.4%,,,5/14/2020,,,5/14/2020,10.0%
5/15/2020,37.5%,,,5/15/2020,,,5/15/2020,10.0%
5/18/2020,37.5%,,,5/18/2020,,,5/18/2020,10.0%
5/19/2020,37.5%,,,5/19/2020,,,5/19/2020,10.0%
5/20/2020,37.5%,,,5/20/2020,,,5/20/2020,10.0%
5/21/2020,36.6%,,,5/21/2020,,,5/21/2020,10.0%
5/22/2020,33.1%,,,5/22/2020,,,5/22/2020,10.0%
5/26/2020,31.9%,,,5/26/2020,,,5/26/2020,10.0%
5/27/2020,31.8%,,,5/27/2020,,,5/27/2020,10.0%
5/28/2020,30.8%,,,5/28/2020,,,5/28/2020,10.0%
5/29/2020,30.8%,,,5/29/2020,,,5/29/2020,10.0%
6/1/2020,40.3%,,,6/1/2020,,,6/1/2020,10.0%
6/2/2020,39.8%,,,6/2/2020,,,6/2/2020,10.0%
6/3/2020,36.3%,,,6/3/2020,,,6/3/2020,10.0%
6/4/2020,41.8%,,,6/4/2020,,,6/4/2020,10.0%
6/5/2020,38.5%,,,6/5/2020,,,6/5/2020,10.0%
6/8/2020,35.1%,,,6/8/2020,,,6/8/2020,10.0%
6/9/2020,33.8%,,,6/9/2020,,,6/9/2020,10.0%
6/10/2020,32.4%,,,6/10/2020,,,6/10/2020,10.0%
6/11/2020,33.9%,,,6/11/2020,,,6/11/2020,10.0%
6/12/2020,34.8%,,,6/12/2020,,,6/12/2020,10.0%
6/15/2020,39.8%,,,6/15/2020,,,6/15/2020,10.0%
6/16/2020,37.6%,,,6/16/2020,,,6/16/2020,10.0%
6/17/2020,40.2%,,,6/17/2020,,,6/17/2020,10.0%
6/18/2020,39.2%,,,6/18/2020,,,6/18/2020,10.0%
6/19/2020,38.6%,,,6/19/2020,,,6/19/2020,10.0%
6/22/2020,42.9%,,,6/22/2020,,,6/22/2020,10.0%
6/23/2020,42.0%,,,6/23/2020,,,6/23/2020,10.0%
6/24/2020,42.0%,,,6/24/2020,,,6/24/2020,10.0%
6/25/2020,35.1%,,,6/25/2020,,,6/25/2020,10.0%
6/26/2020,36.5%,,,6/26/2020,,,6/26/2020,10.0%
6/29/2020,32.4%,,,6/29/2020,,,6/29/2020,10.0%
6/30/2020,36.7%,,,6/30/2020,,,6/30/2020,10.0%
7/1/2020,38.0%,,,7/1/2020,,,7/1/2020,10.0%
7/2/2020,40.4%,,,7/2/2020,,,7/2/2020,10.0%
7/6/2020,38.1%,,,7/6/2020,,,7/6/2020,10.0%
7/7/2020,37.4%,,,7/7/2020,,,7/7/2020,10.0%
7/8/2020,39.7%,,,7/8/2020,,,7/8/2020,10.0%
7/9/2020,41.4%,,,7/9/2020,,,7/9/2020,10.0%
7/10/2020,40.4%,,,7/10/2020,,,7/10/2020,10.0%
7/13/2020,37.3%,,,7/13/2020,,,7/13/2020,10.0%
7/14/2020,37.8%,,,7/14/2020,,,7/14/2020,10.0%
7/15/2020,43.2%,,,7/15/2020,,,7/15/2020,10.0%
7/16/2020,44.4%,,,7/16/2020,,,7/16/2020,10.0%
7/17/2020,49.0%,,,7/17/2020,,,7/17/2020,10.0%
7/20/2020,43.7%,,,7/20/2020,,,7/20/2020,10.0%
7/21/2020,39.6%,,,7/21/2020,,,7/21/2020,10.0%
7/22/2020,36.1%,,,7/22/2020,,,7/22/2020,10.0%
7/23/2020,33.0%,,,7/23/2020,,,7/23/2020,10.0%
7/24/2020,31.5%,,,7/24/2020,,,7/24/2020,10.0%
7/27/2020,31.7%,,,7/27/2020,,,7/27/2020,10.0%
7/28/2020,33.8%,,,7/28/2020,,,7/28/2020,10.0%
7/29/2020,35.4%,,,7/29/2020,,,7/29/2020,10.0%
7/30/2020,41.6%,,,7/30/2020,,,7/30/2020,10.0%
7/31/2020,49.0%,,,7/31/2020,,,7/31/2020,10.0%
8/3/2020,49.7%,,,8/3/2020,,,8/3/2020,10.0%
8/4/2020,49.7%,,,8/4/2020,,,8/4/2020,10.0%
8/5/2020,49.7%,,,8/5/2020,,,8/5/2020,10.0%
8/6/2020,49.7%,,,8/6/2020,,,8/6/2020,10.0%
8/7/2020,49.8%,,,8/7/2020,,,8/7/2020,10.0%
8/10/2020,49.8%,,,8/10/2020,,,8/10/2020,10.0%
8/11/2020,49.7%,,,8/11/2020,,,8/11/2020,10.0%
8/12/2020,49.8%,,,8/12/2020,,,8/12/2020,10.0%
8/13/2020,49.8%,,,8/13/2020,,,8/13/2020,10.0%
8/14/2020,49.8%,,,8/14/2020,,,8/14/2020,10.0%
8/17/2020,49.8%,,,8/17/2020,,,8/17/2020,10.0%
8/18/2020,49.8%,,,8/18/2020,,,8/18/2020,10.0%
8/19/2020,49.8%,,,8/19/2020,,,8/19/2020,10.0%
8/20/2020,49.8%,,,8/20/2020,,,8/20/2020,10.0%
8/21/2020,49.8%,,,8/21/2020,,,8/21/2020,10.0%
8/24/2020,49.8%,,,8/24/2020,,,8/24/2020,10.0%
8/25/2020,49.8%,,,8/25/2020,,,8/25/2020,10.0%
8/26/2020,49.8%,,,8/26/2020,,,8/26/2020,10.0%
8/27/2020,49.8%,,,8/27/2020,,,8/27/2020,10.0%
8/28/2020,49.8%,,,8/28/2020,,,8/28/2020,10.0%
8/31/2020,49.8%,,,8/31/2020,,,8/31/2020,10.0%
9/1/2020,49.8%,,,9/1/2020,,,9/1/2020,10.0%
9/2/2020,49.9%,,,9/2/2020,,,9/2/2020,10.0%
9/3/2020,50.2%,,,9/3/2020,,,9/3/2020,10.0%
9/4/2020,50.2%,,,9/4/2020,,,9/4/2020,10.0%
9/8/2020,50.5%,,,9/8/2020,,,9/8/2020,10.0%
9/9/2020,47.8%,,,9/9/2020,,,9/9/2020,10.0%
9/10/2020,44.8%,,,9/10/2020,,,9/10/2020,10.0%
9/11/2020,42.5%,,,9/11/2020,,,9/11/2020,10.0%
9/14/2020,49.8%,,,9/14/2020,,,9/14/2020,10.0%
9/15/2020,48.1%,,,9/15/2020,,,9/15/2020,10.0%
9/16/2020,44.6%,,,9/16/2020,,,9/16/2020,10.0%
9/17/2020,45.3%,,,9/17/2020,,,9/17/2020,10.0%
9/18/2020,50.8%,,,9/18/2020,,,9/18/2020,10.0%
9/21/2020,50.8%,,,9/21/2020,,,9/21/2020,10.0%
9/22/2020,50.9%,,,9/22/2020,,,9/22/2020,10.0%
9/23/2020,51.0%,,,9/23/2020,,,9/23/2020,10.0%
9/24/2020,51.0%,,,9/24/2020,,,9/24/2020,10.0%
9/25/2020,51.1%,,,9/25/2020,,,9/25/2020,10.0%
9/28/2020,46.6%,,,9/28/2020,,,9/28/2020,10.0%
9/29/2020,45.6%,,,9/29/2020,,,9/29/2020,10.0%
9/30/2020,49.1%,,,9/30/2020,,,9/30/2020,10.0%
10/1/2020,36.5%,,,10/1/2020,,,10/1/2020,10.0%
10/2/2020,33.9%,,,10/2/2020,,,10/2/2020,10.0%
10/5/2020,29.7%,,,10/5/2020,,,10/5/2020,10.0%
10/6/2020,30.9%,,,10/6/2020,,,10/6/2020,10.0%
10/7/2020,31.7%,,,10/7/2020,,,10/7/2020,10.0%
10/8/2020,31.4%,,,10/8/2020,,,10/8/2020,10.0%
10/9/2020,41.9%,,,10/9/2020,,,10/9/2020,10.0%
